idx,p,m,d,h,mode,aux,pas,lin,ext,tot,capdrop,aftercap,sec,bits,nslots,phim,B,degP,order,degQ,degC,cnorm,search,normonly,composed_active,qks,R,ok,exit,wall,valid
3,8191,45193,14,12,BASELINE,90,1,43.907292000000005,134.495357,180.362621,321.179876,907.234855,78.5494,1787,3150,44100,17,1223,,,,,,False,False,36.634751,27.448942,True,0,405.78,True
3,8191,45193,14,12,NORMONLY,90,1,44.286704,135.423529,181.690207,321.07962,907.281864,78.5494,1787,3150,44100,17,1223,1,1223,,,,True,False,36.634751,27.448942,True,0,2741.41,True
3,8191,45193,14,12,ORDER6,90,1,45.700824000000004,76.085532,123.813552,375.853658,852.563266,78.5494,1787,3150,44100,17,1835,6,305,,,,False,False,36.634751,27.448942,True,0,352.49,True
3,8191,45193,14,12,ORDER6_COMPOSED,90,1,45.995096,37.366596,85.456364,465.994698,762.214292,78.5494,1787,3150,44100,17,1835,,,22,134,11.7551,False,True,36.634751,27.448942,True,0,327.06,True
4,65537,50731,18,12,BASELINE,256,1,56.438677999999996,158.695389,217.632071,354.179637,1038.230814,78.8964,2018,2784,50112,17,1223,,,,,,False,False,41.244073,29.150462,True,0,558.53,True
4,65537,50731,18,12,NORMONLY,256,1,,,,,,,,,,,,,,,,,False,False,,,False,124,5400.39,False
4,65537,50731,18,12,ORDER4,256,1,56.781057000000004,92.724349,152.037412,414.770989,977.608729,78.8964,2018,2784,50112,17,1223,4,305,,,,False,False,41.244073,29.150462,True,0,496.33,True
4,65537,50731,18,12,ORDER4_COMPOSED,256,1,59.066824000000004,41.408673,103.059641,472.810017,919.632926,78.8964,2018,2784,50112,17,1223,,,17,99,18.1206,False,True,41.244073,29.150462,True,0,467.63,True
14,2971,49589,4,12,BASELINE,55,1,111.127567,149.421385,262.731837,299.110888,934.150812,81.7334,1795,11664,46656,17,1223,,,,,,False,False,34.502003,26.886599,True,0,747.42,True
14,2971,49589,4,12,BASELINE,55,2,103.897312,148.78909,254.787812,299.168469,933.955241,81.7334,1795,11664,46656,17,1223,,,,,,False,False,34.502003,26.886599,True,0,755.75,True
