# idx	p	pmod12	m	q1	q2	d	nslots	bits	aux4	aux6	arms
14	2971	7	49589	17	2917	4	11664	1320	-	55	BASELINE,ORDER6,ORDER6_COMPOSED,NORMONLY
15	4423	7	50633	11	4603	3	15340	1320	-	67	BASELINE,ORDER6,ORDER6_COMPOSED,NORMONLY
16	13807	7	43837	59	743	7	6148	1320	-	118	BASELINE,ORDER6,ORDER6_COMPOSED,NORMONLY
17	19183	7	44347	727	61	12	3630	1320	-	139	BASELINE,ORDER6,ORDER6_COMPOSED,NORMONLY
18	37831	7	37637	617	61	4	9240	1320	-	195	BASELINE,ORDER6,ORDER6_COMPOSED,NORMONLY
19	60271	7	60517	73	829	4	14904	1500	-	246	BASELINE,ORDER6,ORDER6_COMPOSED,NORMONLY
20	3307	7	60371	827	73	8	7434	1500	-	58	BASELINE,ORDER6,ORDER6_COMPOSED,NORMONLY
21	6163	7	41317	79	523	9	4524	1320	-	79	BASELINE,ORDER6,ORDER6_COMPOSED,NORMONLY
22	14401	1	43033	23	1871	11	3740	1320	120	318	BASELINE,ORDER4,ORDER4_COMPOSED,ORDER6,ORDER6_COMPOSED,NORMONLY
23	2521	1	50731	97	523	18	2784	1500	71	676	BASELINE,ORDER4,ORDER4_COMPOSED,ORDER6,ORDER6_COMPOSED,NORMONLY
24	2917	1	53983	1459	37	4	13122	1500	54	248	BASELINE,ORDER4,ORDER4_COMPOSED,ORDER6,ORDER6_COMPOSED,NORMONLY
25	4513	1	37637	61	617	4	9240	1320	95	815	BASELINE,ORDER4,ORDER4_COMPOSED,ORDER6,ORDER6_COMPOSED,NORMONLY
26	8101	1	51833	17	3049	8	6096	1320	90	-	BASELINE,ORDER4,ORDER4_COMPOSED,NORMONLY
27	13457	5	45193	43	1051	7	6300	1320	116	-	BASELINE,ORDER4,ORDER4_COMPOSED,NORMONLY
28	15377	5	55459	31	1789	4	13410	1500	124	-	BASELINE,ORDER4,ORDER4_COMPOSED,NORMONLY
